"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.647062300E-2,6.505782420E1,2.560776060E1,NaN,NaN,NaN,NaN,2.858907996E-1,1.200000000E3,0.000000000E0,-1.000000000E0
2.180096806E0,6.505538677E1,2.560582052E1,6.990399488E1,8.739229322E1,NaN,NaN,2.871626858E-1,4.800000000E1,8.932572174E1,6.000000000E0
3.253807998E0,6.505539751E1,2.560581120E1,7.086003716E1,8.834833764E1,1.036998153E0,1.954000397E2,2.878235361E-1,1.200000000E1,1.848299026E1,1.000000000E1
4.211285305E0,6.505539174E1,2.560581456E1,7.173494587E1,8.922324507E1,1.357963324E0,1.832596130E2,2.967636139E-1,3.200000000E1,6.089237595E1,9.000000000E0
5.287567458E0,6.505531487E1,2.560575869E1,4.616470236E1,6.365297619E1,1.364751458E0,4.011771679E0,2.994558321E-1,6.000000000E0,9.587369919E0,1.000000000E1
6.239250380E0,6.505533515E1,2.560579004E1,4.007804203E1,5.756632393E1,0.000000000E0,NaN,3.002635097E-1,1.200000000E1,1.213009262E1,1.100000000E1
7.221516995E0,6.505533585E1,2.560577290E1,3.661043812E1,5.409871879E1,0.000000000E0,NaN,3.079939258E-1,1.200000000E1,1.152274323E1,1.000000000E1
8.064542840E0,6.505537522E1,2.560563704E1,3.296925354E1,5.045753370E1,0.000000000E0,NaN,3.100476173E-1,1.200000000E1,1.107021999E1,1.400000000E1
9.060815340E0,6.505536779E1,2.560567713E1,3.198359521E1,4.947187665E1,0.000000000E0,NaN,3.113081664E-1,1.200000000E1,1.096987629E1,1.500000000E1
1.006486515E1,6.505535954E1,2.560565871E1,3.132354677E1,4.881182446E1,0.000000000E0,NaN,3.124406982E-1,1.200000000E1,1.066012287E1,1.700000000E1
1.109985807E1,6.505535312E1,2.560563997E1,3.203886515E1,4.952713957E1,0.000000000E0,NaN,3.135580695E-1,1.200000000E1,1.047314262E1,1.800000000E1
1.209251791E1,6.505534307E1,2.560563971E1,3.153502381E1,4.902329549E1,0.000000000E0,NaN,3.150575910E-1,1.200000000E1,1.030819321E1,2.100000000E1
1.308511791E1,6.505533442E1,2.560566426E1,3.135496481E1,4.884323617E1,0.000000000E0,NaN,3.163437516E-1,1.200000000E1,1.001854706E1,2.300000000E1
1.409521180E1,6.505532506E1,2.560568037E1,3.104956492E1,4.853783507E1,0.000000000E0,NaN,3.174783271E-1,8.000000000E0,9.708615303E0,2.300000000E1
1.509979253E1,6.505532220E1,2.560570360E1,3.010128098E1,4.758955227E1,0.000000000E0,NaN,3.182286246E-1,8.000000000E0,9.305670738E0,2.500000000E1
1.609889176E1,6.505531666E1,2.560571273E1,3.048196329E1,4.797023383E1,0.000000000E0,NaN,3.185837163E-1,8.000000000E0,8.910427094E0,2.700000000E1
