"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.984623000E-2,-8.231103420E-3,9.810829163E-2,3.004240990E-2,1.029346120E-1
3.784183500E-2,1.275280714E-1,1.349668503E-1,-1.291425228E-1,2.261796871E-1
4.571537000E-2,2.529106140E-1,8.674716949E-2,-9.032273293E-2,2.822180827E-1
5.358890600E-2,3.224753141E-1,6.458187103E-2,-3.168416023E-2,3.304013201E-1
6.152347600E-2,4.097516239E-1,4.734420776E-2,-1.875710487E-2,4.129039795E-1
6.939701100E-2,3.559423983E-1,-2.465629578E-2,2.891063690E-3,3.568070656E-1
7.742313400E-2,2.588153183E-1,-1.348018646E-2,1.992664337E-1,3.269161912E-1
8.529666900E-2,2.191815376E-1,3.797245026E-2,1.979837418E-1,2.977918995E-1
9.320072200E-2,1.881562769E-1,7.719707489E-2,1.346132755E-1,2.438911783E-1
1.011352920E-1,2.693639100E-1,9.880065918E-2,1.613497734E-2,2.873653141E-1
1.090088270E-1,2.750146091E-1,6.607913971E-2,-3.882002831E-2,2.854934019E-1
1.170349500E-1,1.859532148E-1,7.355499268E-2,-5.675148964E-2,2.078693498E-1
1.249084860E-1,5.780231953E-2,9.495925903E-2,-8.719754219E-2,1.412861649E-1
1.328125380E-1,-1.648718119E-2,1.284770966E-1,-1.777410507E-2,1.307444465E-1
1.407471090E-1,-3.054055572E-2,1.134538651E-1,4.819393158E-3,1.175913755E-1
1.486206440E-1,1.488047838E-2,1.038770676E-1,2.241134644E-5,1.049374781E-1
1.565552140E-1,5.615282059E-2,1.198768616E-1,4.060864449E-2,1.384653863E-1
1.644287490E-1,6.052607298E-2,1.409454346E-1,5.446314812E-2,1.627736328E-1
1.723328020E-1,2.149447799E-2,1.712350845E-1,8.106732368E-2,1.906708623E-1
1.802673720E-1,2.916282415E-2,1.787977219E-1,1.373035908E-1,2.273133777E-1
1.881103900E-1,5.344179273E-2,1.885299683E-1,8.095574379E-2,2.120221842E-1
1.961365130E-1,3.929901123E-2,1.601743698E-1,-6.817269325E-2,1.784593991E-1
2.040100480E-1,-4.255890846E-3,1.217660904E-1,-1.918947697E-1,2.273074922E-1
2.119141010E-1,-8.076608181E-3,1.141653061E-1,-2.134377956E-1,2.421872031E-1
2.198791890E-1,-3.026258945E-2,8.160591125E-2,-1.392617226E-1,1.642229474E-1
2.277832410E-1,3.208529949E-2,1.016836166E-1,-6.440019608E-2,1.245648810E-1
2.357483290E-1,1.795300841E-2,8.943080902E-2,2.277636528E-2,9.401565257E-2
2.436523820E-1,-3.585177660E-2,5.792808533E-2,3.857374191E-2,7.828758855E-2
2.515259170E-1,-9.511953592E-2,8.848857880E-2,2.928686142E-2,1.331753541E-1
2.594910050E-1,-1.900428236E-1,7.853317261E-2,-6.560134888E-2,2.158408464E-1
2.673645400E-1,-2.140181661E-1,1.100206375E-1,-1.084239483E-1,2.639395170E-1
2.752991110E-1,-2.890940309E-1,1.025114059E-1,-2.052724361E-1,3.690809126E-1
2.831726460E-1,-2.248242199E-1,5.877113342E-2,-2.224967480E-1,3.217215859E-1
2.910461810E-1,-1.416835785E-1,3.218269348E-2,-2.114319801E-1,2.565413113E-1
2.989807510E-1,-4.631942511E-2,7.481575012E-3,-9.110975266E-2,1.024814624E-1
3.068542860E-1,-1.665842533E-2,-6.832790375E-2,6.081414223E-2,9.297615533E-2
3.147888570E-1,7.524901628E-2,-6.342506409E-2,1.274526119E-1,1.610258411E-1
3.226623920E-1,2.209093869E-1,-2.473449707E-2,1.255886555E-1,2.553140477E-1
3.305664450E-1,2.595652938E-1,-7.592201233E-3,1.454019547E-1,2.976130234E-1
3.385010150E-1,1.365267932E-1,4.303836823E-2,9.609603882E-2,1.724132103E-1
3.464050680E-1,4.627543688E-2,1.200218201E-1,8.533835411E-2,1.543673801E-1
3.544311910E-1,-5.025926232E-2,1.419429779E-1,1.274065971E-1,1.972466563E-1
3.623047260E-1,-7.704669237E-2,1.039171219E-1,1.147825718E-1,1.729450774E-1
3.702087790E-1,-6.094431877E-2,9.910583496E-2,5.772566795E-2,1.298785173E-1
3.781433490E-1,-1.691445708E-2,7.492160797E-2,7.311367989E-2,1.060422387E-1
3.860168840E-1,4.553118348E-2,4.834747314E-2,8.357167244E-2,1.067463876E-1
3.940430070E-1,3.125131130E-2,2.659893036E-2,8.669519424E-2,9.591769524E-2
4.019165420E-1,6.700694561E-2,3.846454620E-2,5.591797829E-2,9.537438005E-2
4.097900770E-1,2.146744728E-2,6.487751007E-2,5.681514740E-4,6.833934007E-2
4.177246480E-1,-9.794980288E-3,6.042861938E-2,-1.502704620E-2,6.303468725E-2
4.255981830E-1,6.763488054E-3,4.661273956E-2,2.608084679E-2,5.383960280E-2
4.335632710E-1,-2.688521147E-2,5.467319489E-2,1.354722977E-1,1.485419680E-1
4.414673230E-1,-1.104689538E-1,5.572509766E-2,1.413693428E-1,1.878668873E-1
4.493103410E-1,-2.167099714E-2,6.875991821E-2,2.142605782E-1,2.260644904E-1
4.572754290E-1,2.597585320E-2,-6.839752197E-3,2.872469425E-1,2.885001441E-1
4.651794820E-1,3.747543693E-2,-8.370399475E-3,2.793347836E-1,2.819616876E-1
4.731750870E-1,2.051964402E-2,4.009151459E-2,1.479763985E-1,1.546783755E-1
4.810791400E-1,5.656930804E-2,6.195640564E-2,1.133680344E-1,1.410354354E-1
4.888916400E-1,4.980185628E-2,5.735301971E-2,1.798286438E-1,1.952125377E-1
4.968567280E-1,9.342616796E-2,1.005964279E-1,2.225027084E-1,2.614489347E-1
5.047607810E-1,1.085752547E-1,1.510267258E-1,2.532339096E-1,3.142054595E-1
5.127258680E-1,9.046018124E-2,1.343727112E-1,2.458624840E-1,2.944272931E-1
5.206299210E-1,3.680616617E-2,1.367969513E-1,8.799910545E-2,1.667691288E-1
5.285339740E-1,3.797653317E-2,2.155437469E-1,-8.324885368E-2,2.341616868E-1
5.364685440E-1,3.661328554E-2,2.511100769E-1,-2.638020515E-1,3.660441583E-1
5.443725970E-1,3.450241685E-2,2.557601929E-1,-3.757889271E-1,4.558738978E-1
5.523376850E-1,4.821282625E-2,3.298778534E-1,-3.659696579E-1,4.950531944E-1
5.602417380E-1,8.243104815E-2,3.873634338E-1,-2.897479534E-1,4.907129345E-1
5.681152730E-1,1.539539993E-1,5.191907883E-1,-1.854131222E-1,5.723975318E-1
5.760803610E-1,2.080249190E-1,6.198234558E-1,-2.006523609E-1,6.838982770E-1
5.839233780E-1,3.449755907E-1,7.776250839E-1,-2.341914177E-1,8.823573819E-1
5.918579480E-1,1.800710261E-1,7.439441681E-1,-3.090572357E-2,7.660506925E-1
5.997314840E-1,5.736722946E-1,9.471464157E-1,-6.923079491E-2,1.109494992E0
6.076355360E-1,3.565921187E-1,9.734220505E-1,9.747457504E-2,1.041253917E0
6.155395890E-1,3.284447491E-1,1.048157692E0,3.415501118E-1,1.150289954E0
6.234131240E-1,2.319152057E-1,1.120881081E0,6.084067822E-1,1.296270756E0
6.314392470E-1,-9.809732437E-4,1.277254105E0,6.966509819E-1,1.454888862E0
6.393127820E-1,-1.131694317E-1,1.251089096E0,3.657069206E-1,1.308347354E0
6.471863180E-1,4.267740250E-2,1.248121262E0,1.666424274E-1,1.259919737E0
6.551208880E-1,1.209312975E-1,1.254342079E0,6.494259834E-2,1.261830405E0
6.629944230E-1,1.169902980E-1,1.406537056E0,1.337761879E-1,1.417719749E0
6.710205460E-1,-8.203151822E-2,1.251946449E0,1.848285198E-1,1.268172174E0
6.788940810E-1,2.409527749E-1,1.360222816E0,-3.049421310E-2,1.381735954E0
6.867981340E-1,1.884108484E-1,1.341561317E0,-1.091480255E-2,1.354771032E0
6.947327040E-1,2.418880314E-1,1.315651894E0,-1.250357628E-1,1.343534021E0
7.026062400E-1,1.479604542E-1,1.289750099E0,2.635931969E-2,1.298476965E0
7.106323630E-1,6.224678755E-1,1.488903999E0,-1.456806660E-1,1.620346948E0
7.184753800E-1,4.817370772E-1,1.458413124E0,2.202987671E-1,1.551634944E0
7.263794330E-1,-5.763092637E-2,1.316140175E0,3.400723934E-1,1.360586460E0
7.343140030E-1,1.136694849E-1,1.576278687E0,5.745184422E-1,1.681560790E0
7.421875380E-1,-3.240415454E-1,1.491892815E0,8.898262978E-1,1.767070438E0
7.501221090E-1,-4.389825463E-1,1.555431366E0,6.179757118E-1,1.730308178E0
7.579956440E-1,-2.445886731E-1,1.472245216E0,1.040408611E-1,1.496046155E0
7.658996970E-1,-4.079353213E-1,1.149156570E0,9.639024734E-2,1.223218349E0
7.738342670E-1,-2.852358222E-1,9.959974289E-1,-1.889946461E-1,1.053133101E0
7.817383200E-1,-8.346664906E-2,1.508255005E0,1.195592880E-1,1.515286859E0
7.897339250E-1,-2.480177879E-1,1.323702812E0,5.553958416E-1,1.456765767E0
7.976379780E-1,-2.370802164E-1,1.066487312E0,6.090598106E-1,1.250822157E0
8.054809950E-1,-4.378675222E-1,1.194143295E0,4.617912769E-1,1.353128730E0
8.134460830E-1,-4.544340372E-1,1.267842293E0,2.385516167E-1,1.367786989E0
8.213501360E-1,-4.613965750E-1,1.211186409E0,-3.549695015E-2,1.296579866E0
8.293457410E-1,-5.399752259E-1,1.122713089E0,-3.520324230E-1,1.294598297E0
8.372192770E-1,-7.362537384E-1,1.064913750E0,-1.063017845E-1,1.299003823E0
8.451233290E-1,-8.856372237E-1,1.151135445E0,3.847515583E-1,1.502497875E0
8.530273820E-1,-9.576891065E-1,1.124976158E0,7.052142620E-1,1.637090998E0
8.609009170E-1,-8.406713009E-1,9.980974197E-1,6.861293316E-1,1.474347366E0
8.688965230E-1,-6.356019974E-1,8.802833557E-1,3.503847122E-1,1.140902332E0
8.768005750E-1,-4.207599163E-1,8.122272491E-1,9.753417969E-2,9.199265882E-1
8.847046280E-1,-3.758164644E-1,9.024677277E-1,-2.475340366E-1,1.008443907E0
8.926391980E-1,-3.512828946E-1,9.189596176E-1,-6.782213449E-1,1.194935414E0
9.005127340E-1,-3.185210824E-1,8.744497299E-1,-8.849045038E-1,1.284201694E0
9.085388570E-1,-2.964485884E-1,8.407068253E-1,-8.769887686E-1,1.250511508E0
9.163818740E-1,-2.017129362E-1,8.222951889E-1,-7.038924694E-1,1.101054992E0
9.242554090E-1,-3.799551725E-2,6.110877991E-1,-4.235627651E-1,7.444980682E-1
9.322204970E-1,-3.834238350E-1,5.030355453E-1,7.612609863E-2,6.370665429E-1
9.400940320E-1,-2.885847390E-1,5.625648499E-1,3.559231758E-1,7.255630014E-1
9.481201560E-1,-2.087869644E-1,4.893283844E-1,6.192891598E-1,8.164271723E-1
9.560242080E-1,-1.568467915E-1,2.523183823E-1,8.540680408E-1,9.042663880E-1
9.638977430E-1,-1.345287561E-1,3.555107117E-2,1.002514124E0,1.012124712E0
9.718628310E-1,-4.903319478E-2,-1.942386627E-1,1.089833498E0,1.108092941E0
9.797668840E-1,1.607814431E-2,-4.416971207E-1,1.110765934E0,1.195473050E0
9.877624900E-1,1.295243651E-1,-6.064472198E-1,9.564822912E-1,1.139918052E0
9.956360250E-1,2.682511210E-1,-7.983121872E-1,7.860319614E-1,1.152001413E0
