"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.141744100E-2,2.106897533E-1,8.619125932E-2,9.876082420E0,9.878705537E0
1.343160100E-2,2.082955539E-1,8.140286058E-2,9.885659218E0,9.888188491E0
1.541524300E-2,2.154781520E-1,8.619125932E-2,9.888052940E0,9.890776042E0
1.742940400E-2,2.082955539E-1,8.379705995E-2,9.873687744E0,9.876240107E0
1.938252900E-2,1.963245422E-1,8.379705995E-2,9.861717224E0,9.864027163E0
2.136617100E-2,1.891419291E-1,9.097966552E-2,9.847352028E0,9.849588516E0
2.331929600E-2,1.963245422E-1,7.900865376E-2,9.830592155E0,9.832869765E0
2.533345600E-2,1.915361285E-1,8.379705995E-2,9.840168953E0,9.842389601E0
2.725606400E-2,1.915361285E-1,7.182604820E-2,9.825803757E0,9.827932872E0
2.927022400E-2,2.011129409E-1,7.661445439E-2,9.844957352E0,9.847309351E0
3.125386700E-2,1.987187415E-1,8.379705995E-2,9.856928825E0,9.859287852E0
3.323750900E-2,1.915361285E-1,7.422025502E-2,9.849745750E0,9.851887438E0
3.519063400E-2,1.795651317E-1,7.422025502E-2,9.859322548E0,9.861236910E0
3.720479400E-2,1.795651317E-1,6.703764945E-2,9.888052940E0,9.889910446E0
3.912740200E-2,1.867477298E-1,7.182604820E-2,9.880870819E0,9.882896430E0
4.111104400E-2,1.843535304E-1,7.900865376E-2,9.871294022E0,9.873331467E0
4.306416900E-2,1.915361285E-1,7.422025502E-2,9.885659218E0,9.887793126E0
4.504781200E-2,1.987187415E-1,6.224924326E-2,9.892841339E0,9.895032788E0
4.700093700E-2,2.011129409E-1,7.422025502E-2,9.861717224E0,9.864046922E0
4.901509700E-2,1.604115069E-1,6.943184882E-2,9.832986832E0,9.834540287E0
5.093770400E-2,1.628057212E-1,6.943184882E-2,9.828198433E0,9.829792008E0
5.292134700E-2,1.651999205E-1,5.746084079E-2,9.828198433E0,9.829754687E0
5.484395400E-2,1.604115069E-1,6.224924326E-2,9.844957352E0,9.846460891E0
5.685811500E-2,1.651999205E-1,6.703764945E-2,9.847352028E0,9.848965784E0
5.881124000E-2,1.651999205E-1,7.182604820E-2,9.832986832E0,9.834636751E0
6.082540000E-2,1.580173075E-1,6.703764945E-2,9.837775230E0,9.839272585E0
6.277852500E-2,1.508347094E-1,6.224924326E-2,9.847352028E0,9.848703876E0
6.476216700E-2,1.484405100E-1,7.422025502E-2,9.861717224E0,9.863113598E0
6.668477500E-2,1.723825186E-1,6.703764945E-2,9.880870819E0,9.882601779E0
6.869893500E-2,1.699883193E-1,7.422025502E-2,9.880870819E0,9.882611640E0
7.065206000E-2,1.819593310E-1,7.661445439E-2,9.885659218E0,9.887630512E0
7.266622000E-2,1.843535304E-1,8.140286058E-2,9.890447617E0,9.892500528E0
7.458882700E-2,1.843535304E-1,8.140286058E-2,9.885659218E0,9.887713124E0
7.660298800E-2,1.819593310E-1,5.985504389E-2,9.876082420E0,9.877939856E0
7.855611300E-2,1.867477298E-1,5.746084079E-2,9.844957352E0,9.846896045E0
8.057027300E-2,1.939303428E-1,6.464344263E-2,9.847352028E0,9.849473575E0
8.252339800E-2,1.915361285E-1,6.943184882E-2,9.849745750E0,9.851852527E0
8.450704000E-2,1.843535304E-1,8.140286058E-2,9.856928825E0,9.858988717E0
8.642964800E-2,1.819593310E-1,8.140286058E-2,9.856928825E0,9.858944238E0
8.844380800E-2,1.771709323E-1,8.140286058E-2,9.859322548E0,9.861250279E0
9.039693300E-2,1.843535304E-1,8.140286058E-2,9.847352028E0,9.849413922E0
9.241109300E-2,1.891419291E-1,7.661445439E-2,9.847352028E0,9.849466301E0
9.436421800E-2,1.939303428E-1,6.943184882E-2,9.854534149E0,9.856686718E0
9.634786100E-2,1.819593310E-1,6.703764945E-2,9.866505623E0,9.868411040E0
9.830098600E-2,1.843535304E-1,7.661445439E-2,9.868899345E0,9.870918412E0
1.002846280E-1,1.963245422E-1,6.943184882E-2,9.859322548E0,9.861521445E0
1.022377530E-1,1.891419291E-1,8.140286058E-2,9.856928825E0,9.859079418E0
1.042519130E-1,1.963245422E-1,9.576806426E-2,9.864110947E0,9.866529259E0
1.062050380E-1,2.011129409E-1,7.900865376E-2,9.873687744E0,9.876051764E0
1.081886810E-1,1.867477298E-1,6.943184882E-2,9.873687744E0,9.875697705E0
1.101418060E-1,1.915361285E-1,6.703764945E-2,9.866505623E0,9.868592267E0
1.121254490E-1,1.987187415E-1,8.379705995E-2,9.864110947E0,9.866468256E0
1.140480560E-1,2.011129409E-1,8.858546615E-2,9.854534149E0,9.856984179E0
1.160622160E-1,2.082955539E-1,8.858546615E-2,9.852140427E0,9.854740251E0
1.180153410E-1,2.130839527E-1,7.661445439E-2,9.864110947E0,9.866709650E0
1.200295010E-1,2.154781520E-1,7.182604820E-2,9.871294022E0,9.873906799E0
1.219826260E-1,2.154781520E-1,7.422025502E-2,9.861717224E0,9.864350262E0
1.239967860E-1,2.202665508E-1,7.422025502E-2,9.861717224E0,9.864456022E0
1.259193940E-1,2.154781520E-1,5.027823523E-2,9.849745750E0,9.852230716E0
1.279030360E-1,2.106897533E-1,5.506663769E-2,9.842563629E0,9.844972387E0
1.298256440E-1,2.011129409E-1,7.900865376E-2,9.842563629E0,9.844935123E0
1.318398040E-1,2.059013397E-1,6.703764945E-2,9.861717224E0,9.864094283E0
