"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.098217600E-2,6.239999771E0,-8.129999542E1,-1.359599915E2,1.585362612E2
2.894726400E-2,-4.529999924E1,-4.097999954E1,-2.197799988E2,2.281111531E2
3.694286900E-2,-4.529999924E1,-4.104000092E1,-2.192399902E2,2.276017243E2
4.484692200E-2,-4.518000031E1,-4.115999985E1,-2.190599976E2,2.274261650E2
5.281201000E-2,-4.523999786E1,-4.134000015E1,-2.186399994E2,2.270662951E2
6.074658000E-2,-4.523999786E1,-4.145999908E1,-2.183999939E2,2.268571054E2
6.868115000E-2,-4.518000031E1,-4.139999771E1,-2.186399994E2,2.270652804E2
7.664623800E-2,-4.541999817E1,-4.115999985E1,-2.184599915E2,2.268962091E2
8.455029100E-2,-4.547999954E1,-4.068000031E1,-2.189400024E2,2.272840018E2
9.248486100E-2,-4.565999985E1,-4.055999756E1,-2.188199921E2,2.271830494E2
1.004499490E-1,-4.547999954E1,-4.031999969E1,-2.189400024E2,2.272198438E2
1.083845200E-1,-4.529999924E1,-4.050000000E1,-2.184599915E2,2.267534075E2
1.163496070E-1,-4.518000031E1,-4.097999954E1,-2.183399963E2,2.267001253E2
1.242536600E-1,-4.565999985E1,-4.109999847E1,-2.185800018E2,2.270490314E2
1.321882300E-1,-4.595999908E1,-4.134000015E1,-2.190000000E2,2.275572832E2
1.400922830E-1,-4.631999969E1,-4.157999802E1,-2.197799988E2,2.284243561E2
1.480268540E-1,-4.661999893E1,-4.121999741E1,-2.199599915E2,2.285933296E2
1.559919410E-1,-4.631999969E1,-4.139999771E1,-2.197200012E2,2.283339246E2
1.638654770E-1,-4.602000046E1,-4.109999847E1,-2.198999939E2,2.283923327E2
1.718000470E-1,-4.595999908E1,-4.043999863E1,-2.198399963E2,2.282045990E2
1.797041000E-1,-4.565999985E1,-4.013999939E1,-2.195999908E2,2.278600692E2
1.876691870E-1,-4.547999954E1,-4.002000046E1,-2.196599884E2,2.278607937E2
1.956647930E-1,-4.589999771E1,-4.025999832E1,-2.192999878E2,2.276404224E2
2.035688460E-1,-4.559999847E1,-4.050000000E1,-2.190599976E2,2.273914959E2
