"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.430010300E-2,3.765141964E-2,-3.031749725E-1,-3.285503387E-2,3.072655962E-1
3.214312100E-2,7.609820366E-2,-3.753538132E-1,1.227669716E-1,4.021854684E-1
4.010820800E-2,5.478465557E-2,-5.195665359E-1,4.466203451E-1,6.873285069E-1
4.801226100E-2,8.299481869E-2,-7.309589386E-1,6.308908463E-1,9.691296971E-1
5.597734900E-2,1.314374208E-1,-9.676790237E-1,8.045024872E-1,1.265267853E0
6.391191900E-2,3.601620793E-1,-1.153908730E0,8.365522623E-1,1.470048219E0
7.181597200E-2,5.407229066E-1,-1.436314583E0,6.638365984E-1,1.672142300E0
7.975054200E-2,7.381068468E-1,-1.716091156E0,2.837373018E-1,1.889517777E0
8.762407800E-2,3.531280756E-1,-1.787135601E0,2.070188522E-2,1.821807252E0
9.558916500E-2,-4.819625616E-1,-1.259135246E0,5.848890543E-1,1.469627397E0
1.034627010E-1,-1.821320057E-1,-1.016719818E0,4.991374016E-1,1.147183247E0
1.113972710E-1,-2.182770967E-1,-7.923507690E-1,1.165368557E-1,8.300876284E-1
1.193928760E-1,1.387895346E-1,-3.557672501E-1,5.991458893E-2,3.865522333E-1
1.272969290E-1,3.397340775E-1,-1.808290482E-1,-7.683396339E-2,3.924561708E-1
1.352925350E-1,3.322352171E-1,-2.744865417E-2,-4.359364510E-2,3.362054045E-1
1.431355520E-1,3.876110911E-1,3.591156006E-1,3.178358078E-2,5.293548607E-1
1.510396050E-1,3.342602849E-1,6.559400558E-1,-2.587331533E-1,7.803397591E-1
1.589741750E-1,2.404919267E-1,7.584218979E-1,-5.533456802E-1,9.691396101E-1
1.668477100E-1,4.745921791E-1,7.973842621E-1,-8.188782930E-1,1.237586788E0
1.748738330E-1,5.020711422E-1,7.061166763E-1,-8.790188432E-1,1.234240787E0
1.827778860E-1,3.240378797E-1,6.013851166E-1,-4.916025400E-1,8.416279839E-1
1.906819390E-1,1.312839389E-1,6.093626022E-1,-9.693086147E-2,6.308358309E-1
1.986775440E-1,-2.164086699E-1,6.362161636E-1,5.417025089E-2,6.741944344E-1
2.065815970E-1,-4.378569722E-1,7.557020187E-1,-1.631588936E-1,8.884959729E-1
2.146382380E-1,-6.171831489E-1,8.841886520E-1,-7.339149117E-1,1.304352602E0
2.225117730E-1,-6.934694648E-1,9.481468201E-1,-1.183038592E0,1.667172037E0
2.303547900E-1,-6.488056183E-1,1.065534592E0,-1.632115126E0,2.054291235E0
2.383198780E-1,-5.104289651E-1,1.115997314E0,-1.841707826E0,2.213114423E0
2.462239310E-1,-3.329920769E-1,1.045208931E0,-1.055348158E0,1.522204049E0
2.542195370E-1,-2.663062811E-1,9.314918518E-1,-3.679463863E-1,1.036330376E0
2.621235890E-1,-2.991917133E-1,7.851686478E-1,1.999068856E-1,8.636945349E-1
2.699971240E-1,-2.983515263E-1,6.822042465E-1,4.757755399E-1,8.836167900E-1
2.779316950E-1,-3.596940041E-1,4.546184540E-1,4.998416901E-1,7.654406772E-1
2.858052300E-1,-4.209734201E-1,3.731412888E-1,3.376123309E-1,6.560755504E-1
2.938008350E-1,-5.519503355E-1,4.663076401E-1,1.041497588E-1,7.300268216E-1
3.016743710E-1,-8.231816292E-1,5.803442001E-1,-2.239407301E-1,1.031783328E0
3.095173880E-1,-1.037837863E0,6.686878204E-1,-7.057307363E-1,1.422078304E0
3.174824760E-1,-1.022467494E0,6.481399536E-1,-1.284482121E0,1.765055097E0
3.253865290E-1,-6.921154261E-1,6.059656143E-1,-1.511928082E0,1.769786601E0
3.333210990E-1,-2.345521450E-1,5.098800659E-1,-1.441591978E0,1.546990569E0
3.412251520E-1,8.503973484E-2,3.395643234E-1,-1.169000030E0,1.220285522E0
3.490681690E-1,1.879954338E-1,1.527700424E-1,-5.861434937E-1,6.342280064E-1
3.570027400E-1,1.611833572E-1,-4.792881012E-2,1.031771898E-1,1.972885653E-1
3.649067920E-1,2.466924191E-1,-3.009052277E-1,9.426783919E-1,1.019825307E0
3.729329150E-1,3.923808336E-1,-4.483852386E-1,1.519227862E0,1.631890112E0
3.808064510E-1,5.538418293E-1,-4.736986160E-1,1.637823105E0,1.792650460E0
3.887105030E-1,5.896895528E-1,-3.960390091E-1,1.427511334E0,1.594480880E0
3.966450740E-1,6.916944385E-1,-2.561111450E-1,9.051133394E-1,1.167589085E0
